Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Units,CDE Reference,,,,,,
dizz_before_admiss,clinical_data_abstraction,,radio,Dizziness ,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
syncope_before_admiss,clinical_data_abstraction,,radio,Syncope (fainting),"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
myalgias_before_admiss,clinical_data_abstraction,,radio,Muscle aches (myalgias),"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
arthalgia_before_admiss,clinical_data_abstraction,,radio,Joint pain (arthalgia),"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
fatigue_before_admiss,clinical_data_abstraction,,radio,Fatigue/weakness,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
confusion_before_admiss,clinical_data_abstraction,,radio,Altered awareness/confusion,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
seizure_before_admiss,clinical_data_abstraction,,radio,Seizure,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
eye_pain_before_admiss,clinical_data_abstraction,,radio,Eye pain,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
conjunctivitis_before_admiss,clinical_data_abstraction,,radio,Conjunctivitis ,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
rash_before_admiss,clinical_data_abstraction,,radio,Skin rash/Skin ulcers,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
swollen_lymph_before_admiss,clinical_data_abstraction,,radio,Swollen lymph nodes,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
smell_lost_before_admiss,clinical_data_abstraction,,radio,Loss of sense of smell,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
taste_lost_before_admiss,clinical_data_abstraction,,radio,Loss of sense of taste,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
covid_toes_before_admiss,clinical_data_abstraction,,radio,"""COVID toes"" (changes or purple spots on toes)","1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
erythema_soles_before_admiss,clinical_data_abstraction,,radio,Erythema of palms or soles,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
edema_before_admiss,clinical_data_abstraction,,radio,Edema of hands or feet,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
nail_desquam_before_admiss,clinical_data_abstraction,,radio,Periungual (nails) desquamation,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
gangrene_before_admiss,clinical_data_abstraction,,radio,Peripheral gangrene,"1, Yes | 2, No | 3, Unknown",,,,,,,y,,,,, @HIDDEN
icu_admiss,clinical_data_abstraction,PRISM IV Score Criteria [ONLY IF ICU ADMISSION PRESENT],yesno,Was patient admitted to ICU?,,,,,,,,y,,,,, @HIDDEN
directions6,clinical_data_abstraction,,descriptive,"For physiologic variables: please mark the worst measurement for each of the criteria from the first 4 hours after patient admission to the hospital. Record exact values, marking field with a ""-6"" on this form and in REDCap if measurements were not done within the first 4 hrs of hospital admission (does not include time in ED).  ",,,,,,,[icu_admiss] = '1',,,,,, @HIDDEN
highest_temp,clinical_data_abstraction,,text,Highest Temperature (蚓): ,,,,,,,[icu_admiss] = '1',y,,,,, @HIDDEN
lowest_temp,clinical_data_abstraction,,text,Lowest Temperature (蚓):,,,,,,,[icu_admiss] = '1',y,,,,, @HIDDEN
highest_heart_rate,clinical_data_abstraction,,text,Highest Heart Rate (beats/minute):,,,,,,,[icu_admiss] = '1',y,,,,, @HIDDEN
lowest_systolic_bp,clinical_data_abstraction,,text,Lowest Systolic Blood Pressure (mmHg): ,,,,,,,[icu_admiss] = '1',y,,,,, @HIDDEN
worst_pupil_exam,clinical_data_abstraction,,radio,"Worst Pupil exam (if not available, assume both reactive):","1, Both reactive | 2, One reactive | 3, Both fixed",,,,,,[icu_admiss] = '1',y,,,,, @HIDDEN
gcs,clinical_data_abstraction,,yesno,Was GCS recorded? ,,,,,,,[icu_admiss] = '1',y,,,,, @HIDDEN
lowest_gcs,clinical_data_abstraction,,text,"For GCS, if the patient is sedated, paralyzed or intubated, record the estimated GCS before these events and/or use best-documented notation:",,,,,,,[gcs] = '1' and [icu_admiss] = '1',y,,,,, @HIDDEN
vent,clinical_data_abstraction,,radio,Ventilation in first 24 hrs (check any that was used in first 24 hours of hospitalization):,"1, Invasive | 2, Non-invasive | 3, None",,,,,,[icu_admiss] = '1',y,,,,, @HIDDEN
lab_variables,clinical_data_abstraction,,descriptive,"For laboratory variables: please mark the worst measurement for each of the criteria in the time period from 2 hours before hospital admission through the first 4 hours of admission to the hospital. Record exact values, marking field with a ""-6"" on this form and in REDCap if measurements were not done in this time period.",,,,,,,[icu_admiss]=1,,,,,, @HIDDEN
lowest_wbc,clinical_data_abstraction,,text,Lowest WBC Count (10^3/無):,,10^3/無,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
lowest_platelet_count,clinical_data_abstraction,,text,Lowest Platelet Count (10^3/無):,,10^3/無,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
highest_pt,clinical_data_abstraction,,text,Highest PT (seconds):,,seconds,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
highest_inr,clinical_data_abstraction,,text,Highest INR (units),,units,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
highest_ptt,clinical_data_abstraction,,text,Highest PTT (seconds),,seconds,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
abg,clinical_data_abstraction,,yesno,Arterial blood gas performed?,,,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
abg_title,clinical_data_abstraction,,descriptive,ABG:,,,,,,,[abg]=1,,,,,, @HIDDEN
abg_lowest_ph,clinical_data_abstraction,,text,Lowest pH (from ABG Only): ,,,,,,,[abg]=1,y,,,,, @HIDDEN
abg_highest_ph,clinical_data_abstraction,,text,Highest pH (from ABG Only): ,,,,,,,[abg]=1,y,,,,, @HIDDEN
abg_highest_total_co2,clinical_data_abstraction,,text,Highest Total CO2 (mmol/L):,,mmol/L,,,,,[abg]=1,y,,,,, @HIDDEN
abg_lowest_pao2,clinical_data_abstraction,,text,Lowest PaO2 from ABG Only (mmHG): ,,mmHg,,,,,[abg]=1,y,,,,, @HIDDEN
abg_highest_paco2,clinical_data_abstraction,,text,Highest PaCO2 from ABG Only (mmHg):,,mmHg,,,,,[abg]=1,y,,,,, @HIDDEN
abg_pf_ratio,clinical_data_abstraction,,text,Lowest P/F Ratio from ABG Only (mmHg):,,mmHg,,,,,[abg]=1,y,,,,, @HIDDEN
no_abg_lowest_total_co2,clinical_data_abstraction,,text,"No ABG, Lowest Total CO2 (mmol/L): ",,mmol/L,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
highest_glucose,clinical_data_abstraction,,text,Highest glucose (mg/dl):,,mg/dl,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
highest_potassium,clinical_data_abstraction,,text,Highest potassium (mmol/L):,,mmol/L,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
highest_creatinine,clinical_data_abstraction,,text,Highest creatinine (mg/dl):,,mg/dl,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
highest_bun,clinical_data_abstraction,,text,Highest BUN (mg/dl):,,mg/dl,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
highest_ast_sgot,clinical_data_abstraction,,text,Highest AST/SGOT (U/L):,,U/L,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
vbg,clinical_data_abstraction,,yesno,Was a venous blood gas performed?,,,,,,,[icu_admiss]=1,y,,,,, @HIDDEN
vbg_title,clinical_data_abstraction,,descriptive,VBG:,,,,,,,[vbg]=1,,,,,, @HIDDEN
lowest_ph_vbg,clinical_data_abstraction,,text,Lowest pH (from VBG Only): ,,,,,,,[vbg]=1,y,,,,, @HIDDEN
highest_ph_vbg,clinical_data_abstraction,,text,Highest pH (from VBG Only): ,,,,,,,[vbg]=1,y,,,,, @HIDDEN
highest_total_co2_vbg,clinical_data_abstraction,,text,Highest Total CO2 (mmol/L): ,,mmol/L,,,,,[vbg]=1,y,,,,, @HIDDEN
lowest_pvco2,clinical_data_abstraction,,text,Lowest PvO2 from VBG Only (mmHg): ,,mmHg,,,,,[vbg]=1,y,,,,, @HIDDEN
highest_pvco2,clinical_data_abstraction,,text,Highest PvCO2 from VBG Only (mmHg): ,,mmHg,,,,,[vbg]=1,y,,,,, @HIDDEN
wbc_count_date,clinical_data_abstraction,"White Blood Count (use value closest to hospital admission time, within 24 hours)",text,Date:,,,date_mdy,,,,,y,,,,, @HIDDEN
wbc_time,clinical_data_abstraction,,text,Time (approximate if necessary): ,,,time,,,,,y,,,,, @HIDDEN
wbc_count,clinical_data_abstraction,,text,WBC Count:,,,,,,,,,,,,, @HIDDEN
wbc_units,clinical_data_abstraction,,radio,WBC Count Units:,"1, 10^3/無 | 2, 10^9/L",,,,,,,y,,,,, @HIDDEN
polys,clinical_data_abstraction,,yesno,Polys (PMN/Neutrophils) available?,,,,,,,,y,,,,, @HIDDEN
polys_percent,clinical_data_abstraction,,text,Polys (PMN/Neutrophils) ,,"%, mark -6 if not done",,,,,[polys]=1,y,,,,, @HIDDEN
lymphocytes,clinical_data_abstraction,,yesno,Lymphocytes available?,,,,,,,,y,,,,, @HIDDEN
lymphocytes_percent,clinical_data_abstraction,,text,Lymphocytes ,,"%, mark -6 if not done",,,,,[lymphocytes]=1,y,,,,, @HIDDEN
eosinophils,clinical_data_abstraction,,yesno,Eosinophils available?,,"%, mark -6 if not done",,,,,,y,,,,, @HIDDEN
eosinophils_percent,clinical_data_abstraction,,text,Eosinophils,,"%, mark -6 if not done",,,,,[eosinophils]=1,y,,,,, @HIDDEN
monocytes_macrophages,clinical_data_abstraction,,yesno,Monocytes/Macrophages available?,,,,,,,,y,,,,, @HIDDEN
monocytes_macrophages_percent,clinical_data_abstraction,,yesno,Monocytes/Macrophages ,,"%, mark -6 if not done",,,,,[monocytes_macrophages] =1,y,,,,, @HIDDEN
abg2,clinical_data_abstraction,"Initial Arterial or Venous Blood Gas (Use value closest to hospital admission time, within 24 hours. These values may be from prior to hospital admission if no value is available. Mark with a (-6) if measurements unavailable):",yesno,Arterial blood gas performed?,,Closest to admission within 24 hours. These may be from prior to admission if no value is available.,,,,,,y,,,,, @HIDDEN
timing_of_abg,clinical_data_abstraction,,radio,Before or after hospital admission,"1, Before hospital admission | 2, After hospital admission",,,,,,[abg2]=1,y,,,,, @HIDDEN
abg_timing,clinical_data_abstraction,,text,Number of hours before or after hospital admission:,,hours,,,,,[abg2]=1,y,,,,, @HIDDEN
abg_ph,clinical_data_abstraction,,text,pH,,,,,,,[abg2]=1,y,,,,, @HIDDEN
paco2,clinical_data_abstraction,,text,PaCO2 (mmHg),,mmHg,,,,,[abg2]=1,y,,,,, @HIDDEN
pa02,clinical_data_abstraction,,text,PaO2 (mmHg),,mmHg,,,,,[abg2]=1,y,,,,, @HIDDEN
base_excess_abg,clinical_data_abstraction,,text,Base excess (mmHg),,mmHg,,,,,[abg2]=1,y,,,,, @HIDDEN
bicarb_abg,clinical_data_abstraction,,text,Bicarbonate (mmol/L),,mmol/L,,,,,[abg2]=1,y,,,,, @HIDDEN
fi02_abg,clinical_data_abstraction,,text,FiO2 % at the time of blood gas,,%,,,,,[abg2]=1,y,,,,, @HIDDEN
vbg2,clinical_data_abstraction,,yesno,Venous blood gas performed?,,Closest to admission within 24 hours. These may be from prior to admission if no value is available.,,,,,,y,,,,, @HIDDEN
timing_of_vbg,clinical_data_abstraction,,radio,Before or after hospital admission,"1, Before hospital admission | 2, After hospital admission",,,,,,[vbg2]=1,y,,,,, @HIDDEN
vbg_timing,clinical_data_abstraction,,text,"Number of hours before or after hospital admission:	",,,,,,,[vbg2]=1,y,,,,, @HIDDEN
ph_vbg,clinical_data_abstraction,,text,pH,,,,,,,[vbg2]=1,y,,,,, @HIDDEN
pvc02_vbg,clinical_data_abstraction,,text,PvCO2 (mmHg),,mmHg,,,,,[vbg2]=1,y,,,,, @HIDDEN
pv02_vbg,clinical_data_abstraction,,text,PvO2 (mmHg),,mmHg,,,,,[vbg2]=1,y,,,,, @HIDDEN
base_excess_vbg,clinical_data_abstraction,,text,Base excess (mmHg),,mmHg,,,,,[vbg2]=1,y,,,,, @HIDDEN
bicarb_vbg,clinical_data_abstraction,,text,Bicarbonate (mmol/L),,mmol/L,,,,,[vbg2]=1,y,,,,, @HIDDEN
fi02_vbg,clinical_data_abstraction,,text,FiO2 % at the time of blood gas,,%,,,,,[vbg2]=1,y,,,,, @HIDDEN
mech_vent,clinical_data_abstraction,Respiratory and cardiovascular support during hospital admission,yesno,Did the patient receive new or increased oxygen support or mechanical ventilation during hospital admission?,,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,,
mech_vent_which,clinical_data_abstraction,,checkbox,Which support was received during hospital admission?,"1, Tracheostomy | 2, Invasive or non-invasive mechanical ventilator support | 3, Other O2 support | 4, Nitric oxide",,,,,,[mech_vent] = '1',,,,,, @HIDDEN
bibap_cpap,clinical_data_abstraction,,yesno,"Non-invasive mechanical ventilator support (BiPAP or CPAP)	",,,,,,,[mech_vent] = '1',y,,,,, @HIDDEN
endo_tube_tracheostomy,clinical_data_abstraction,,yesno,"Mechanical ventilator support through and endotracheal tube or tracheostomy	",,,,,,,[mech_vent] = '1',y,,,,, @HIDDEN
invasive_vent_timing,clinical_data_abstraction,,radio,"If yes, was it prior to or after admission?","1, Prior to admission | 2, After admission",,,,,,[endo_tube_tracheostomy]=1,y,,,,, @HIDDEN
timing_of_invasive_vent,clinical_data_abstraction,,text,"Number of hours prior to/after admission:	",,,,,,,[endo_tube_tracheostomy]=1,y,,,,, @HIDDEN
home_vent_support,clinical_data_abstraction,,radio,"If patient is on ventilation at home, is ventilator support greater than his/her baseline?	","1, Yes | 2, No | 3, Not applicable (no vent support at baseline)",,,,,,[mech_vent] = '1',y,,,,, @HIDDEN
nasal_cannula,clinical_data_abstraction,,yesno,"High-flow nasal cannula	",,,,,,,[mech_vent] = '1',y,,,,, @HIDDEN
other_02_support,clinical_data_abstraction,,yesno,Other O2 Support,,,,,,,[mech_vent] = '1',y,,,,, @HIDDEN
nitric_oxide,clinical_data_abstraction,,yesno,Nitric oxide,,,,,,,[mech_vent] = '1',y,,,,, @HIDDEN
vasoactive_infusions,clinical_data_abstraction,,yesno,Vasoactive infusions (including ECMO) received during admission?,,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,,
dopamine_inf,clinical_data_abstraction,,yesno,"Dopamine infusion	",,,,,,,[vasoactive_infusions]='1',y,,,,, @HIDDEN
dobutamine_inf,clinical_data_abstraction,,yesno,Dobutamine infusion,,,,,,,[vasoactive_infusions]='1',y,,,,, @HIDDEN
epinephrine_inf,clinical_data_abstraction,,yesno,Epinephrine infusion,,,,,,,[vasoactive_infusions]='1',y,,,,, @HIDDEN
norepinephrine_inf,clinical_data_abstraction,,yesno,Norepinephrine infusion,,,,,,,[vasoactive_infusions]='1',y,,,,, @HIDDEN
phenylephrine_inf,clinical_data_abstraction,,yesno,Phenylephrine infusion,,,,,,,[vasoactive_infusions]='1',y,,,,, @HIDDEN
milrinone_inf,clinical_data_abstraction,,yesno,Milrinone infusion,,,,,,,[vasoactive_infusions]='1',y,,,,, @HIDDEN
vasopressin_inf,clinical_data_abstraction,,yesno,Vasopressin infusion (for hypotension not diabetes insipidus),,,,,,,[vasoactive_infusions]='1',y,,,,, @HIDDEN
ecmo,clinical_data_abstraction,,yesno,ECMO support received?,,,,,,,[vasoactive_infusions]='1',y,,,,,
type_of_ecmo,clinical_data_abstraction,,radio,Type of ECMO Support,"1, Veno-venous | 2, Veno-arterial | 3, Both VV and VA",,,,,,[ecmo]=1,y,,,,, @HIDDEN
cpr_cardiac_arrest,clinical_data_abstraction,,yesno,CPR received for cardiac arrest?,,,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,,
pulm_infiltrates,clinical_data_abstraction,Major complications identified within 24 hours (pre/post) of hospital admission: ,yesno,Pulmonary infiltrates on chest X-Ray ,,,,MOVE DOWN,,,,y,,,,, @HIDDEN
pulm_edema,clinical_data_abstraction,,yesno,Pulmonary edema due to left heart failure,,,,MOVE DOWN,,,,y,,,,, @HIDDEN
pneumothorax,clinical_data_abstraction,,yesno,Pneumothorax,,,,MOVE DOWN,,,,y,,,,, @HIDDEN
pleural_effusion,clinical_data_abstraction,,yesno,Pleural effusion,,,,MOVE DOWN,,,,y,,,,, @HIDDEN
pulm_hemorrhage,clinical_data_abstraction,,yesno,Pulmonary hemorrhage,,,,MOVE DOWN,,,,y,,,,, @HIDDEN
seizures,clinical_data_abstraction,,yesno,Seizures,,,,MOVE DOWN,,,,y,,,,, @HIDDEN
coma_unresponsive,clinical_data_abstraction,,yesno,Coma or unresponsive,,,,,,,,y,,,,, @HIDDEN
rtpcr,clinical_data_abstraction,SARS-CoV-2 Viral Testing,radio,SARS-CoV-2 virus test done?,"1, Not done | 2, Done",,,,,,,y,,,,,
sarscov2_test_which,clinical_data_abstraction,,checkbox,Which SARS-CoV-2 virus test was performed?,"1, PCR | 2, Rapid antigen test | 3, Unknown",Enter the type of first positive test,,,,,[rtpcr]='2',y,,,,,
sarscov2_test_error,clinical_data_abstraction,,descriptive,"<div style=""background-color:#FFCCCC;padding:10px"">You checked both a specific test type and unknown. Please uncheck one of those boxes.</div>",,,,,,,([sarscov2_test_which(1)] = '1' and [sarscov2_test_which(3)] = '1') or ([sarscov2_test_which(2)] = '1' and [sarscov2_test_which(3)] = '1'),,,,,,
pcr_collection_date,clinical_data_abstraction,,text,"Date of Collection	",,"If subject tested positive, enter date of first positive test",date_mdy,,,y,[rtpcr]='2',y,,,,,
specimen,clinical_data_abstraction,,radio,Specimen Tested,"1, Upper (Nasal/NP/OP swab) | 2, Lower (Endotracheal, BAL) | 3, Unknown",,,,,,[rtpcr]='2',y,,,,, @HIDDEN
covid_test_results1,clinical_data_abstraction,,radio,SARS-CoV-2 virus test results,"1, Positive | 2, Negative | 3, Inconclusive","If subject tested positive at or before diagnosis, mark as positive, even if other tests were negative or inconclusive",,,,,[rtpcr]='2',y,,,,,
antibody_testing,clinical_data_abstraction,"SARS-CoV-2 Antibody Testing
",yesno,Anti SARS-CoV-2 / COVID-19 antibody testing documented before or during acute illness?,,,,,,,,y,,,,,
antibody_testing_res,clinical_data_abstraction,,radio,What was the result of the SARS-CoV-2 / COVID-19 antibody test?,"1, Positive | 2, Negative | 3, Inconclusive","If subject tested positive, mark as positive, even if other tests were negative or inconclusive
Record test results from illness and not after recovery.",,,,,[antibody_testing]='1',y,,,,,
antibody_testing_neg,clinical_data_abstraction,,checkbox,Which anti SARS-CoV-2 / COVID-19 antibody test was tested?,"1, Nucleocapsid | 2, Spike IgG | 3, Spike IgM | 4, Spike NOS | 5, Unknown type",Check all that apply,,,,,[antibody_testing]='1',y,,,,,
antibody_testing_pos,clinical_data_abstraction,,checkbox,"Which anti SARS-CoV-2 / COVID-19 antibody test was positive?	","1, Nucleocapsid | 2, Spike IgG | 3, Spike IgM | 4, Spike NOS | 5, Unknown type",Check all that apply,,,,,[antibody_testing_res]='1',y,,,,,
nucleocapsid_ab,clinical_data_abstraction,,radio,"SARS-CoV-2 Antibodies, Nucleocapsid","1, Yes | 2, No | 3, Inconclusive | 4, Not done | 5, Unknown",,,,,,[antibody_testing]=1,y,,,,, @HIDDEN
nucleocapsid_ab_date,clinical_data_abstraction,,text,"Date of test nucleocapsid:	",,,date_mdy,,,y,[nucleocapsid_ab] = '1' or [nucleocapsid_ab] = '2' or [nucleocapsid_ab] = '3',y,,,,, @HIDDEN
spike_igg_ab,clinical_data_abstraction,,radio,"SARS-CoV-2 Antibody, Spike, IgG","1, Yes | 2, No | 3, Inconclusive | 4, Not done | 5, Unknown",,,,,,[antibody_testing]=1,y,,,,, @HIDDEN
spike_igg_date,clinical_data_abstraction,,text,"Date of test Spike IgG:	",,,date_mdy,,,y,[spike_igg_ab] = '1' or [spike_igg_ab] = '3' or [spike_igg_ab] = '2',y,,,,, @HIDDEN
spike_igm_ab,clinical_data_abstraction,,radio,"SARS-CoV-2 Antibody, Spike,  IgM","1, Yes | 2, No | 3, Inconclusive | 4, Not done | 5, Unknown",,,,,,[antibody_testing]=1,y,,,,, @HIDDEN
spike_igm_date,clinical_data_abstraction,,text,"Date of test Spike IgM:	",,,date_mdy,,,y,[spike_igm_ab] = '1' or [spike_igm_ab] = '2' or [spike_igm_ab] = '3',y,,,,, @HIDDEN
community_acquired_viral_inf,clinical_data_abstraction,"Other Viral Testing:
Please use the following section to describe any infections of viral origin that are suspected to be present on admission or acquired in the community.  These could have been identified at another hospital prior to admission or identified soon after admission, and colonizations should not be considered.",yesno,Does the patient have a clinical diagnosis or suspicion of community acquired viral infection other than SARS-CoV-2?,,,,,,,,y,,,,, @HIDDEN
viral_inf_within_72_hrs,clinical_data_abstraction,,yesno,Was diagnosis of viral infection or other evidence of viral infection present within 72 hours of hospital admission?,,,,,,,,y,,,,, @HIDDEN
viral_pathogen,clinical_data_abstraction,,radio,Was a viral pathogen identified from diagnostic testing?,"1, No, viral testing was limited to SARS-CoV-2 testing only | 2, No, other non-SARS-CoV-2 viral pathogen identified | 3, Yes/positive test",,,,,,,y,,,,, @HIDDEN
neg_tests,clinical_data_abstraction,,checkbox,Negative tests that were performed (select all that apply):,"1, Negative Viral Rapid/EIA | 2, Negative Viral DFA | 3, Negative Viral culture | 4, Negative Viral PCR",,,,,,[viral_pathogen]=2,y,,,,, @HIDDEN
neg_viral_pcr,clinical_data_abstraction,,text,Negative Viral PCR for what viruses?,,,,,,,[neg_tests(4)] = '1',y,,,,, @HIDDEN
influenza,clinical_data_abstraction,,yesno,Influenza positive?,,,,,,,[neg_tests(4)] = '1',y,,,,, @HIDDEN
influenza_pos,clinical_data_abstraction,,checkbox,Check all that apply.,"1, 2009 H1N1 Pandemic | 2, Seasonal A (H1N1) | 3, Seasonal A (H3N2) | 4, A, not subtyped | 5, B | 6, A/B not differentiated",,,,,,[influenza] = '1',y,,,,, @HIDDEN
influenza_coll_date,clinical_data_abstraction,,text,Date of collection. ,,,date_mdy,,,y,[influenza]=1,y,,,,, @HIDDEN
rsv,clinical_data_abstraction,,yesno,RSV positive?,,,,,,,[neg_tests(4)] = '1',y,,,,, @HIDDEN
rsv_coll_date,clinical_data_abstraction,,text,Date of collection. ,,,date_mdy,,,y,[rsv]=1,y,,,,, @HIDDEN
parainfluenza,clinical_data_abstraction,,yesno,"Parainfluenza 1, 2, 3, or 4 positive?",,,,,,,[neg_tests(4)] = '1',y,,,,, @HIDDEN
parainfluenza_coll_date,clinical_data_abstraction,,text,Date of collection.,,,date_mdy,,,y,[parainfluenza]=1,y,,,,, @HIDDEN
adenovirus,clinical_data_abstraction,,yesno,Adenovirus positive?,,,,,,,[neg_tests(4)] = '1',y,,,,, @HIDDEN
adenovirus_coll_date,clinical_data_abstraction,,text,Date of collection.,,,date_mdy,,,y,,y,,,,, @HIDDEN
rhinovirus,clinical_data_abstraction,,yesno,Rhinovirus positive?,,,,,,,[neg_tests(4)] = '1',y,,,,, @HIDDEN
rhinovirus_coll_date,clinical_data_abstraction,,text,Date of collection.,,,date_mdy,,,y,[rhinovirus]=1,y,,,,, @HIDDEN
hmpv,clinical_data_abstraction,,yesno,hMPV positive?,,,,,,,[neg_tests(4)] = '1',y,,,,, @HIDDEN
hmpv_coll_date,clinical_data_abstraction,,text,Date of collection.,,,date_mdy,,,y,[hmpv]=1,y,,,,, @HIDDEN
mycoplasma,clinical_data_abstraction,,yesno,Mycoplasma positive?,,,,,,,[neg_tests(4)] = '1',y,,,,, @HIDDEN
mycoplasma_coll_date,clinical_data_abstraction,,text,Date of collection.,,,date_mdy,,,y,[mycoplasma]=1,y,,,,, @HIDDEN
other_virus_pos,clinical_data_abstraction,,yesno,"Other virus positive (e.g. HSV, CMV)?",,,,,,,[neg_tests(4)] = '1',y,,,,, @HIDDEN
other_viruses,clinical_data_abstraction,,text,List.,,,,,,,[other_virus_pos]=1,y,,,,, @HIDDEN
pos_viruses,clinical_data_abstraction,,text,Date of collection.,,,date_mdy,,,y,[other_virus_pos]=1,y,,,,, @HIDDEN
antibody_titers,clinical_data_abstraction,Antibody Titers for Other Viruses,yesno,Were antibody titers for any non SARS-CoV-2 viruses (e.g.) enterovirus or mycoplasma sent?,,,,,,,,y,,,,, @HIDDEN
titer_test,clinical_data_abstraction,,text,Name of test(s).,,,,,,,[antibody_titers]=1,y,,,,, @HIDDEN
titer_test_dates,clinical_data_abstraction,,text,Date of test(s):,,,,,,,[antibody_titers]=1,y,,,,, @HIDDEN
titer_results,clinical_data_abstraction,,text,Results.,,,,,,,[antibody_titers]=1,y,,,,, @HIDDEN
bac_fungal_testing,clinical_data_abstraction,Superinfection,yesno,Was the subject diagnosed with a secondary bacterial/fungal (super)infection?,,Organisms could have been identified at another hospital prior to admission or identified soon after admission.,,,,,[cohort_type] = '9' or [cohort_type] = '10' ,y,,,,,
superinfect_type,clinical_data_abstraction,,checkbox,What type of secondary bacterial/fungal (super)infection(s) was/were diagnosed?,"1, Bacteremia/sepsis | 2, Pneumonia | 8, Urinary tract infection | 6, Meningitis | 7, Wound infection | 10, Other",,,,,,[bac_fungal_testing]='1',,,,,,
superinfect_type_oth,clinical_data_abstraction,,text,What other type of secondary bacterial/fungal (super)infection was diagnosed?,,,,,,,[superinfect_type(10)] = '1',,,,,,
superinfect_type_type,clinical_data_abstraction,,checkbox,What type of organism was identified or reported as the cause of secondary (super)infection?,"1, Bacterial | 2, Fungal | 3, Unknown/Not reported",,,,,,[bac_fungal_testing]='1',,,,,,
superinfect_type_bug,clinical_data_abstraction,,checkbox,What type of bacteria was identified or reported as the cause of secondary (super)infection?,"1, Streptococcus pneumoniae | 2, Group A Streptococcus | 3, Moraxella catarrhalis | 4, Staphylococcus aureus Methacillin-sensitive | 5, Staphylococcus aureus Methacillin-resistant | 6, Staphylococcus non-aureus | 7, Proteus species | 8, E. coli | 9, Klebsiella | 10, Haemophilus influenzae type b | 11, Haemophilus influenzae non-typeable | 12, Pseudomonas | 13, Other Gram negative rods | 14, Other",,,,,,[superinfect_type_type(1)] = '1',,,,,,
superinfect_type_bug_oth,clinical_data_abstraction,,text,What other type of microbe was identified or reported?,,,,,,,[superinfect_type_bug(14)] = '1' or [superinfect_type_type(2)] = '1',,,,,,
description,clinical_data_abstraction,,descriptive,Bacterial/Fungal Pathogen #1,,,,,,,[bac_fungal_testing]=1,,,,,, @HIDDEN
pathogen_1,clinical_data_abstraction,,yesno,Was a bacterial or fungal pathogen identified by microbiologic culture?,,,,,,,[bac_fungal_testing]=1,y,,,,, @HIDDEN
bac_fungal_coll_date,clinical_data_abstraction,,text,Date of specimen collection:,,,date_mdy,,,y,[pathogen_1]=1,y,,,,, @HIDDEN
pos_report_date,clinical_data_abstraction,,text,Date of positive report:,,,date_mdy,,,y,[pathogen_1]=1,y,,,,, @HIDDEN
culture_source_1,clinical_data_abstraction,,radio,Culture source:,"1, Blood | 2, Lower respiratory tract (endotracheal tube or tracheostomy or bronchoscopy) | 3, Nasopharyngeal | 4, Sputum | 5, Pleural Fluid | 6, Cerebrospinal Fluid | 7, Wound | 8, Urine | 9, Stool",,,,,,[pathogen_1]=1,y,,,,, @HIDDEN
