variable_name,description,label,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
final_determination_v4,clinical_event_4 - final determination,"Final Determination - This event is ",radio,"1, NOT a COVID19 event | 2, a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,f8793e008d516cb3da7fd84f15a7dc66fb3a1bb2b6c7c6e0b7209db267761eb7650330e4c1609f99ff319fd49afef24e71ff9a5e9cbc185b23d792532a0f62fa
final_whoscore_v4,clinical_event_4 - final who score,Final Determination - Score on WHO Scale ____________,text,,Demographics_and_Clinical.csv,RADx-DHT,a2b9612b27ab34a527909d7e56c44b05af1713c5be322837c9ca431f10564164accbe398531e18e89c19a17d14b3966d209ae540e7d12ecd79877eee2ac69ea5
narrative_event1_v4,clinical_event_4 - narrative,Narrative,notes,,Demographics_and_Clinical.csv,RADx-DHT,b91939e553a34a5d9aca6ee8813285f85004b847cc2c4e4d15e4c1de174bd3c4d94487d9cb9eacff72c3245a3ae844fcacb4cfa9834128620ed3648a1483e999
ongoing_v5,clinical_event_5 - Observation/Hospitalization ongoing,Ongoing,radio,"1, Ongoing",Demographics_and_Clinical.csv,RADx-DHT,8c36a17af99a4e538e9ef73ca2635d73f6420caabc7139235cf46ca1f4725286f9855e5155501c38293eb59cecdd7a2450893f6973ac9e50d36a417da478141f
review_date_v5,clinical_event_5 - reviewer(1) date,Date of Review(1),text,,Demographics_and_Clinical.csv,RADx-DHT,55712e62496597b5159a066cd955bada3a6f30de2240c70e842994220656d6d2fd7de5d0aac64f34cf5ef1e5ba088f98789693048c6b092132f232f3807591fc
review_eventcovid_v5,clinical_event_5 - reviewer(1) opinion,"In the opinion of reviewer(1), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,14cbf94a4db1591982a88e8de7f285e9ea352d56624c8f87d12185a53ebd8d66b8270650a8108e43964c55f588733631f326781372764da8e6e5fdb4c620d430
whoscore_v5,clinical_event_5 - reviewer(1) who score,Reviewer(1) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,c86b65b34cd78b7c99e9c739cb27db9554815b3c5093314ef8c8967d24d6c50bdbecbfcf8ebea543d418f49da265e1ad2472e33908aabd9c11787d4c11220248
review_date_2_v5,clinical_event_5 - reviewer(2) date,Date of Review(2),text,,Demographics_and_Clinical.csv,RADx-DHT,58c23d3f946dd343a5461d4d7b4e87e48791e9f31b36099b3510afd3851545cf0fe081f88473e98a3c29a93456b409199fe6e4c77397793d56dd8159ce2e6cda
review_eventcovid_2_v5,clinical_event_5 - reviewer(2) opinion,"In the opinion of reviewer(2), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,c87c8829a4e9f18d21f28027d335d98ac33b59fd1bc83d4e04717fe032e9da949fb2f097e58b93ba1b51e53577d342c1d94bf61aaeef10e7508c63217fe4bf48
whoscore_2_v5,clinical_event_5 - reviewer(2) who score,Reviewer(2) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,e1568f90e44a8bbdd9d27fac38b52ff75a22ce4709a4631a0900135fc06a6d97cde93245d3544fa1923cb9e36e748834a368cdc3e86c183cae8e0f33284be843
event_reviewagree_v5,clinical_event_5 - reviewer(1) and (2) agree,Do both investigators agree regarding the event category?,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,fe4f6bc137ddaed73b973c9f28af3b5ce53e424e206af9e0737d9fc76fc9f16ca6c1990b00a42e2828255739c8530eb108be16ac47d5a84ef87773bce696ab39
review_date_3_v5,clinical_event_5 - reviewer(3) date,Date of Review(3),text,,Demographics_and_Clinical.csv,RADx-DHT,6a8a5f3d1438f9e7749cc2c2f22e60dee9b9faf3c3657757199502e66bae5470524c3284f3d403101f1ccd184c9df0122442f5f3765e8f5f57b6d18bb3f63edc
review_eventcovid_3_v5,clinical_event_5 - reviewer(3) opinion,"In the opinion of reviewer(3), this event is-",radio,"1, NOT considered a COVID19 event | 2, considered a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,607adfdb0a6bd8e1de48ea0377773aa4bedad74af7c80ed157842d2416d496bcd9263d5693c9e94430f6290232b805848f58a1dc1d220d88654b0d1eeee40ef4
whoscore_3_v5,clinical_event_5 - reviewer(3) who score,Reviewer(3) Score on WHO Scale ______,text,,Demographics_and_Clinical.csv,RADx-DHT,4d92c12511adbb457f0fd07383028e5775fe7bd10dab239a286da63eb0b47d14670b82fce0c2a3d9ee444ee0f5509565bad87987d02737a5bb9b212f8bb60df2
final_determination_v5,clinical_event_5 - final determination,"Final Determination - This event is ",radio,"1, NOT a COVID19 event | 2, a COVID19 event",Demographics_and_Clinical.csv,RADx-DHT,42e6d8054c504234d1e56615372705a3469ee4951bd5605232db2b1a4b49828afc08ed1ec255e53c8e04ae42ee7da792f24549729324be83862068dd37420a74
final_whoscore_v5,clinical_event_5 - final who score,Final Determination - Score on WHO Scale ____________,text,,Demographics_and_Clinical.csv,RADx-DHT,fbe8bfcefdf46acfe6ef919f63454cd451c096ed1791d47b53006ae1be0474eedd3839d5b4d3555d82d9135f141d2e8a6c03e038f6059f56cec54e2da3255e8e
narrative_event1_v5,clinical_event_5 - narrative,Narrative,notes,,Demographics_and_Clinical.csv,RADx-DHT,61eca1e73553804ad8aae90fdcb5e8e1b4f8fe270d97706f6baefd2c35bd4a0d7762296c480d7d0b9ed70defe7026943f828cc71320157472a402e80f644055b
