variable_name,description,label,datatype,value_constraints,units,required,unique,CDE,form_name
32011-symptom_startdate_deid,Number of days from day of Consent when Participant started exhibiting COVID symptoms,What was the date that your symptoms first started?,integer,De-identified Value in Days,days,true,,,Symptom Screening
30165-prev_diag,Previously recovered from COVID in last 90 days,Have you recovered from COVID-19 in the last 90 days?,categorical,"1, No; 2, Yes; 999, Prefer not to answer",,true,,,Symptom Screening
30166-prev_exposure-1,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; No","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? No",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30166-prev_exposure-2,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; Yes, with COVID-19; ","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? Yes, with COVID-19; ",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30166-prev_exposure-3,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; Yes, with flu","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? Yes, with flu",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30166-prev_exposure-999,"In the last 14 days, the participant lived with, or was exposed to, someone diagnosed with COVID-19 or the flu; Prefer not to answer","In the last 14 days, did you live with, or have you been exposed to, someone diagnosed with COVID-19 or the flu? Prefer not to answer",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30167-mask,Mask usage status,"In the last 14 days, did you regularly wear a mask indoors, when you were not at home? 
 
This includes work/office, social gatherings, house of worship, medical facility, school, restaurants/bars, sports/recreation or any public transportation such as airlines, or ride sharing situations.",categorical,"1, No, not at all; 2, Sometimes; 3, Yes, always; 999, Prefer not to answer",,true,,,Symptom Screening
30168-distance,Social distancing compliance status,"In the last 14 days, did you maintain social distancing from other people who are not from your household in both indoor and outdoor spaces? 
 
This means a safe distance (at least 6 feet) from others.",categorical,"1, No, not at all; 2, Sometimes; 3, Yes, always; 999, Prefer not to answer",,true,,,Symptom Screening
30169-food_poison,Food poisining status in last 14 days,"In the last 14 days, did you eat or drink anything that may have given you food poisoning?",categorical,"1, No; 2, Yes; 999, Prefer not to answer",,true,,,Symptom Screening
30170-flu_shot,Flu vaccine status,Did you receive a flu shot/vaccine this season?,categorical,"1, No; 2, Yes; 999, Prefer not to answer",,true,,,Symptom Screening
30171-covid_vaccine,COVID vaccine status,Did you receive a vaccine for COVID-19?,categorical,"1, No; 2, Yes, both doses of a two-dose vaccine; 3, Yes, only the 1st dose of a two-dose vaccine; 4, Yes, one dose of a one-dose vaccine; 999, Prefer not to answer",,true,,,Symptom Screening
30172-covid_vaccine_type,2-dose type vaccine received,Please specify the type of vaccine received:,categorical,"1, Pfizer/BioNTech; 2, Moderna; 3, Other; 999, Prefer not to answer",,true,,,Symptom Screening
32012-covid_2dose_specify,Other 2-dose vaccine specified,"Other 2-dose vaccine, please specify:",text,,,true,,,Symptom Screening
30175-covid_vaccine_type_2,1-dose type vaccine recevied,Please specify the type of vaccine received:,categorical,"1, Johnson and Johnson (J&J); 2, Other; 999, Prefer not to answer",,true,,,Symptom Screening
32013-covid_1dose_specify,Other 1-dose vaccine specified,"Other 1-dose, please specify:",text,,,true,,,Symptom Screening
32014-covid_vaccine_date_deid,Number of days from day of Consent when Participant received a first vaccine,What was the date that you received your first COVID vaccine?,integer,De-identified Value in Days,days,true,,,Symptom Screening
32015-covid_vaccine2_date_deid,Number of days from day of Consent when Participant received a second vaccine,What was the date that you received your second COVID vaccine?,integer,De-identified Value in Days,days,true,,,Symptom Screening
30182-travel,Travel in last 14 days Domestically (outside of virginia),"In the last 14 days, did you travel to any states outside of Virginia?",categorical,"1, No; 2, Yes; 999, Prefer not to answer",,true,,,Symptom Screening
30183-states_specify-3,Participant traveled in the last 14 days to the following: Arizona,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Arizona,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-6,Participant traveled in the last 14 days to the following: Colorado,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Colorado,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-9,Participant traveled in the last 14 days to the following: District of Columbia,Please specify which states you traveled to (outside of Virginia) in the last 14 days: District of Columbia,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-10,Participant traveled in the last 14 days to the following: Florida,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Florida,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-11,Participant traveled in the last 14 days to the following: Georgia,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Georgia,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-14,Participant traveled in the last 14 days to the following: Illinois,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Illinois,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-19,Participant traveled in the last 14 days to the following: Louisiana,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Louisiana,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-20,Participant traveled in the last 14 days to the following: Maine,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Maine,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-21,Participant traveled in the last 14 days to the following: Montana,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Montana,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-23,Participant traveled in the last 14 days to the following: Nevada,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Nevada,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-24,Participant traveled in the last 14 days to the following: New Hampshire,Please specify which states you traveled to (outside of Virginia) in the last 14 days: New Hampshire,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-25,Participant traveled in the last 14 days to the following: New Jersey,Please specify which states you traveled to (outside of Virginia) in the last 14 days: New Jersey,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-27,Participant traveled in the last 14 days to the following: New York,Please specify which states you traveled to (outside of Virginia) in the last 14 days: New York,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-28,Participant traveled in the last 14 days to the following: North Carolina,Please specify which states you traveled to (outside of Virginia) in the last 14 days: North Carolina,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-33,Participant traveled in the last 14 days to the following: Maryland,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Maryland,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-34,Participant traveled in the last 14 days to the following: Massachusetts,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Massachusetts,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-38,Participant traveled in the last 14 days to the following: Missouri,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Missouri,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-39,Participant traveled in the last 14 days to the following: Pennsylvania,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Pennsylvania,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-40,Participant traveled in the last 14 days to the following: Puerto Rico,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Puerto Rico,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-41,Participant traveled in the last 14 days to the following: Rhode Island,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Rhode Island,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-42,Participant traveled in the last 14 days to the following: South Carolina,Please specify which states you traveled to (outside of Virginia) in the last 14 days: South Carolina,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-45,Participant traveled in the last 14 days to the following: Texas,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Texas,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-50,Participant traveled in the last 14 days to the following: West Virginia,Please specify which states you traveled to (outside of Virginia) in the last 14 days: West Virginia,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-52,Participant traveled in the last 14 days to the following: Wyoming,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Wyoming,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30183-states_specify-999,Participant traveled in the last 14 days to the following: Prefer not to answer,Please specify which states you traveled to (outside of Virginia) in the last 14 days: Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Symptom Screening
30184-international,Travel in last 14 days Internationally (outside of usa),"In the last 14 days, did you travel outside of the United States?",categorical,"1, No; 2, Yes; 999, Prefer not to answer",,true,,,Symptom Screening
30186-countries_specify,Countries participant traveled to in the last 14 days outside of the U.S.,"What countries outside of the U.S. did you travel to, please list:",text,,,true,,,Symptom Screening
athome1 confirmation submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""At-home COVID Kit Instructions and Survey"" related to At-Home Test 1",,integer,De-identified Value in Days,days,false,,,
30725-have_allitems,"At-home COVID Test Survey #1, Status of Items required",Do you have everything shown here?,categorical,"1, Yes; 2, No",,true,,,At-home COVID Kit Instructions and Survey
30719-testkit_performing,"At-Home COVID Test Survey #1,  test specified",Please confirm which at-home COVID Test you are taking:,categorical,"1, At-home COVID Test #1; 2, At-home COVID Test #2; 3, I am retaking my COVID Test #1",,true,,,At-home COVID Kit Instructions and Survey
32007-datestart_deid,Number of days from day of Consent when Participant started their first at-home COVID test,What is the day that you completed the first at-home COVID test?,integer,De-identified Value in Days,days,true,,,At-home COVID Kit Instructions and Survey
32016-time_picker,Participant specified time of day string between 0:0 and 23:59,"Time of first at-home test, please specify:",string,,,true,,,At-home COVID Kit Instructions and Survey
30760-blueline_results,"At-Home COVID Test Survey #1, Blue Line Status",Do you see a Blue Line on your Strip?,categorical,"1, Yes; 2, No, or I'm not sure; 3, I could not complete the test",,true,,,At-home COVID Kit Instructions and Survey
30763-pinkline_results,"At-Home COVID Test Survey #1, Pink Line Status","Do you see a Pink Lineon your Strip?
Look closely, thePink Linemay bevery faint.",categorical,"1, Yes; 2, No, or I'm not sure; 3, I could not complete the test",,true,,,At-home COVID Kit Instructions and Survey
30766-pinkblue_confirm,"At-Home COVID Test Survey #1, Pink and Blue Confirmation Status",Does your test strip look like one of these?,categorical,"1, Yes; 2, No, I'm not sure; 3, I did not complete the test",,true,,,At-home COVID Kit Instructions and Survey
30769-blue_nopink_confirm,"At-Home COVID Test Survey #1, No Pink, but Yes Blue Confirmation Status",Does your test strip look like this?,categorical,"1, Yes; 2, No",,true,,,At-home COVID Kit Instructions and Survey
30772-noblue_confirm,"At-Home COVID Test Survey #1, No Blue Confirmation Status",Does your test strip look one of these?,categorical,"1, Yes; 2, No",,true,,,At-home COVID Kit Instructions and Survey
30774-unable_select,"At-Home COVID Test Survey #1, Unable to complete status",We are sorry to hear that you were unable to complete the COVID Test. Could you please let us know why you were not able to complete the test?,categorical,"1, It was too painful; 2, I didn't feel comfortable administering to myself; 3, I changed my mind, I no longer want to be in this study; 4, Other; 5, Prefer not to answer",,true,,,At-home COVID Kit Instructions and Survey
32019-unable_other,Unable to complete the at-home test 1 for other reasons,"Other reasons why you couldn't complete the first at-home test, please specify:",text,,,true,,,At-home COVID Kit Instructions and Survey
30777-which_test,"At-Home COVID Test Survey #1, Confirmed test type status",Please confirm which test you just attempted to complete:,categorical,"1, Test #1; 2, Test #2; 3, Retake of Test #1",,true,,,At-home COVID Kit Instructions and Survey
30778-willing_retake,"At-Home COVID Test Survey #1, confirming retake status",Would you be willing to try another at-home test in a few days?,categorical,"1, Yes; 2, No",,true,,,At-home COVID Kit Instructions and Survey
30784-invalid_followup,"At-Home COVID Test Survey #1, Invalid Status Follow-up","Based on your response, we are not sure if your test if Positive or Negative. This can happen sometimes. Please answer a few questions to help us determine what your next steps should be. Which at-home COVID Test did you just take?",categorical,"1, Test #1; 2, Test #2; 3, Retaking test #1",,true,,,At-home COVID Kit Instructions and Survey
30785-test1_invalid,"At-Home COVID Test Survey #1, Retake Test 1 Status",Would you like to take another at-home COVID test today?,categorical,"1, Yes; 2, No",,true,,,At-home COVID Kit Instructions and Survey
follow-up submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""Follow-up Survey""",,integer,De-identified Value in Days,days,false,,,
31388-screening_preference_clinic,Prefers a clinic administered by health care professionals,"If you need to screen yourself for COVID or a similar disease in the future, which of the following options would you prefer?

At a clinic administered by health care professionals",categorical,"1, Prefer a great deal| 2, Prefer a lot| 3, Prefer a moderate amount| 4, Prefer slightly| 5, Do not prefer| 999, Prefer not to answer",,true,,,Follow-up Survey
31389-screening_preference_home,Prefers an at-home using a physical test kit,"If you need to screen yourself for COVID or a similar disease in the future, which of the following options would you prefer?

At-home using a physical test kit",categorical,"1, Prefer a great deal| 2, Prefer a lot| 3, Prefer a moderate amount| 4, Prefer slightly| 5, Do not prefer| 999, Prefer not to answer",,true,,,Follow-up Survey
31390-screening_preference_reporting,Prefers reporting symptoms only on a digital app or website,"If you need to screen yourself for COVID or a similar disease in the future, which of the following options would you prefer?

Reporting my symptoms only on a digital app or website",categorical,"1, Prefer a great deal| 2, Prefer a lot| 3, Prefer a moderate amount| 4, Prefer slightly| 5, Do not prefer| 999, Prefer not to answer",,true,,,Follow-up Survey
31392-screening_pref_other,Other preferences for screening that participant has described,"Other preferences for screening you would consider, please describe:",text,,,false,,,Follow-up Survey
31393-join_why-1,"Participant joined the study, because of: Free COVID Testing",What made you want to join this study? (select all that apply); Free COVID Testing,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31393-join_why-2,"Participant joined the study, because of: Payment for participating",What made you want to join this study? (select all that apply); Payment for participating,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31393-join_why-3,"Participant joined the study, because of: Interested in at-home COVID screening",What made you want to join this study? (select all that apply); Interested in at-home COVID screening,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31393-join_why-4,"Participant joined the study, because of: The potential benefits to me",What made you want to join this study? (select all that apply); The potential benefits to me,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31393-join_why-5,"Participant joined the study, because of: The potential benefits to my community",What made you want to join this study? (select all that apply); The potential benefits to my community,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31393-join_why-6,"Participant joined the study, because of: Study sounded interesting",What made you want to join this study? (select all that apply); Study sounded interesting,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31393-join_why-7,"Participant joined the study, because of: Video on the website",What made you want to join this study? (select all that apply); Video on the website,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31393-join_why-8,"Participant joined the study, because of: I'm not sure",What made you want to join this study? (select all that apply); I'm not sure,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31393-join_why-9,"Participant joined the study, because of: Other",What made you want to join this study? (select all that apply); Other,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31393-join_why-999,"Participant joined the study, because of: Prefer not to answer",What made you want to join this study? (select all that apply); Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
32030-join_why_other,Other reasons the participant joined the study,"Other reasons joined this study, please specify",text,,,false,,,Follow-up Survey
31396-join_hear-1,"Participant heard about the study, because of: Work",How did you hear about this study? Work,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31396-join_hear-2,"Participant heard about the study, because of: Friends/family",How did you hear about this study? Friends/family,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31396-join_hear-3,"Participant heard about the study, because of: Saw a printed flyer",How did you hear about this study? Saw a printed flyer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31396-join_hear-4,"Participant heard about the study, because of: Saw an ad online",How did you hear about this study? Saw an ad online,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31396-join_hear-5,"Participant heard about the study, because of: Social media",How did you hear about this study? Social media,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31396-join_hear-6,"Participant heard about the study, because of: Invited by Research Staff member",How did you hear about this study? Invited by Research Staff member,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31396-join_hear-7,"Participant heard about the study, because of: Other",How did you hear about this study? Other,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31396-join_hear-999,"Participant heard about the study, because of: Prefer not to answer",How did you hear about this study? Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
32031-join_hear_other,Other ways the participant heard about the study,"Other ways you heard about the study, please specify",text,,,false,,,Follow-up Survey
31400-challenges,Challenges that participant had,"What challenges did you have with the study, please describe:",text,,,false,,,Follow-up Survey
31401-research_before,Health research enrollment previous status,Have you ever been enrolled in a health research study before this one?,categorical,"1, Yes; 2, No; 999, Prefer not to answer",,true,,,Follow-up Survey
31402-research_compare,Health research previous enroillment comparison,How did this study compare to other research studies you have participated in?,categorical,"1, Much better; 2, Somewhat better; 3, About the same; 4, Somewhat worse; 5, Much worse; 999, Prefer not to answer",,true,,,Follow-up Survey
31404-research_moredetail,Other comparison comments to other studies,"Other comparison comments to other studies, please describe:",text,,,false,,,Follow-up Survey
31405-skipped_why-1,"Participant skipped questions on this survey, because they indicated:  I didn't understand the question(s)","If you skipped any questions on this survey, could you help us understand why? (select all that apply) I didn't understand the question(s)",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31405-skipped_why-2,"Participant skipped questions on this survey, because they indicated: I didn't feel like answering them","If you skipped any questions on this survey, could you help us understand why? (select all that apply) I didn't feel like answering them",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31405-skipped_why-3,"Participant skipped questions on this survey, because they indicated: Other","If you skipped any questions on this survey, could you help us understand why? (select all that apply) Other",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31405-skipped_why-4,"Participant skipped questions on this survey, because they indicated: I didn't skip any questions","If you skipped any questions on this survey, could you help us understand why? (select all that apply) I didn't skip any questions",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31405-skipped_why-5,"Participant skipped questions on this survey, because they indicated: Prefer not to answer","If you skipped any questions on this survey, could you help us understand why? (select all that apply) Prefer not to answer",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
32032-skipped_other,Other reasons for skipping questions,"Other reasons that questions were skipped, please specify",text,,,false,,,Follow-up Survey
32793-,N/A,0,text,,,false,,,Follow-up Survey
31409-othercomments,Other comments provided by the participants,Any other comments that you would like to provide?,text,,,false,,,Follow-up Survey
31344-devices_own-1,Participant owns a: Laptop or desktop computer,Which of the following devices do you own? Laptop or desktop computer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31344-devices_own-2,Participant owns a: Tablet (iPad or Android),Which of the following devices do you own? Tablet (iPad or Android),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31344-devices_own-3,Participant owns a: Smartphone (iPhone or Android),Which of the following devices do you own? Smartphone (iPhone or Android),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31344-devices_own-4,Participant owns a: Mobile phone (not a smartphone),Which of the following devices do you own? Mobile phone (not a smartphone),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31344-devices_own-5,Participant owns a: Home phone (landline),Which of the following devices do you own? Home phone (landline),categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31344-devices_own-999,Participant owns a: Prefer not to answer,Prefer not to answer,categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31345-internet_use,Internet Usage,How often do you access the Internet to find information?,categorical,"1, Daily; 2, 4-6 times a week; 3, 2-3 times a week; 4, Once a week; 5, Rarely; 6, Never; 999, Prefer not to answer",,true,,,Follow-up Survey
31346-past12mo_tech-1,"In the past 12 months, has used tech to: Measure fitness and health goals (such as exercise, steps, diet, weight, sleep)","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Measure fitness and health goals (such as exercise, steps, diet, weight, sleep)",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31346-past12mo_tech-2,"In the past 12 months, has used tech to: Monitor health information  (such as blood sugar, blood pressure, heart rate, oxygen, temperature, mood)","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Monitor health information  (such as blood sugar, blood pressure, heart rate, oxygen, temperature, mood)",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31346-past12mo_tech-3,"In the past 12 months, has used tech to: Schedule alerts or reminders to take medication, or monitor health","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Schedule alerts or reminders to take medication, or monitor health",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31346-past12mo_tech-4,"In the past 12 months, has used tech to: Share data that you collect about your health with a provider","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Share data that you collect about your health with a provider",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31346-past12mo_tech-5,"In the past 12 months, has used tech to: Order a medical device or a prescription","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Order a medical device or a prescription",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31346-past12mo_tech-6,"In the past 12 months, has used tech to: Other health related purpose","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Other health related purpose",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31346-past12mo_tech-998,"In the past 12 months, has used tech to: None of the above","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  None of the above",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31346-past12mo_tech-999,"In the past 12 months, has used tech to: Prefer not to answer","In the past 12 months, have you used any technologies (including websites, smart phone apps, tablet apps, personal medical devices, watches or fitness monitors) for any of the following purposes?  Prefer not to answer",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
32028-past12mo_tech_o,Other technology used in the past 12 months,"Other technology used in the past 12 months, please specify",text,,,false,,,Follow-up Survey
31349-healthdevice_use,Health Device Usages,"You said you have used a device to help monitor health information.

Within the last 12 months, How often have you done this?",categorical,"1, Daily; 2, 4-6 times a week; 3, 2-3 times a week; 4, Once a week; 5, Rarely; 6, Never; 999, Prefer not to answer",,true,,,Follow-up Survey
31350-healthdevice_type-1,"Within the last 12 months, participant has ued a: Thermometer","Within the last 12 months, which devices have you used? Thermometer",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31350-healthdevice_type-2,"Within the last 12 months, participant has ued a: Blood Pressure Monitor","Within the last 12 months, which devices have you used? Blood Pressure Monitor",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31350-healthdevice_type-3,"Within the last 12 months, participant has ued a: CPAP/Breathing device machine","Within the last 12 months, which devices have you used? CPAP/Breathing device machine",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31350-healthdevice_type-4,"Within the last 12 months, participant has ued a: Pulse Oximeter","Within the last 12 months, which devices have you used? Pulse Oximeter",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31350-healthdevice_type-5,"Within the last 12 months, participant has ued a: Glucose Meter","Within the last 12 months, which devices have you used? Glucose Meter",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31350-healthdevice_type-6,"Within the last 12 months, participant has ued a: Other","Within the last 12 months, which devices have you used? Other",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31350-healthdevice_type-999,"Within the last 12 months, participant has ued a: Prefer not answer","Within the last 12 months, which devices have you used? Prefer not answer",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
32029-healthdevice_other,Other health devices used in the past 12 months,"Other health devices used in the past 12 months, please specify:",text,,,false,,,Follow-up Survey
31353-fitness_use,Fitness Device Usage,You said you have used a device to help measure fitness and health goals. How much has using this technology helped?,categorical,"1, None at all; 2, A little; 3, A moderate amount; 4, A lot; 5, A great deal; 999, Prefer not to answer",,true,,,Follow-up Survey
31355-fitness_use_specify,Other comments related to fitness devices and use,Other comments related to fitness devices?,text,,,false,,,Follow-up Survey
31356-past12_recommended-1,"In the last 12 months, participant has: Followed a healthy diet (eating a variety of foods that includes vegetables, fruits, whole grains, and a limited amount of processed foods)","Which of the following, if any, have you done in the last 12 months? Followed a healthy diet (eating a variety of foods that includes vegetables, fruits, whole grains, and a limited amount of processed foods)",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31356-past12_recommended-2,"In the last 12 months, participant has: Exercised according to recommendations from your doctor or other health guidelines","Which of the following, if any, have you done in the last 12 months? Exercised according to recommendations from your doctor or other health guidelines",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31356-past12_recommended-3,"In the last 12 months, participant has: Practiced meditation","Which of the following, if any, have you done in the last 12 months? Practiced meditation",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31356-past12_recommended-4,"In the last 12 months, participant has: Followed my doctor's recommendations on health screenings (such as mammograms, blood pressure, colonoscopies, etc.)","Which of the following, if any, have you done in the last 12 months? Followed my doctor's recommendations on health screenings (such as mammograms, blood pressure, colonoscopies, etc.)",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
31356-past12_recommended-998,"In the last 12 months, participant has: None of the above","Which of the following, if any, have you done in the last 12 months? None of the above",categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,true,,,Follow-up Survey
