variable_name,form_name,section_header,ui,label,value_constraints,field_note,pattern,min,max,branching_logic,required,Custom Alignment,question_id,Matrix Group Name,description,source_file,source_directory,Digest (variable_name|source_file|source_directory)
ab_ultrasound_date_mdy,tier2_ped,"If imaging was performed, what type?",text,Date of Abdomen Ultrasound,,MM/DD/YYYY,date_mdy,01/01/1900,,[ab_ultrasound] = '1' or [ab_ultrasound] = '2',,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,bcad687dfcfab928ade76f87fe01be15017d01266338d366338dc6f1a8e038c099089004b1a6c0f7a594c4d245cc9c59de972ce5f097f33bb524d95911cff96a
neonatal_ultrasound_date_mdy,tier2_ped,"If imaging was performed, what type?",text,Date of Neonatal Ultrasound,,MM/DD/YYYY,date_mdy,01/01/1900,,[neonatal_ultrasound] = '1' or [neonatal_ultrasound] = '2',,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,9ef2063043e8d882e648a2079310d215a0098d3503064fe731157a5643ae2ed5e45da79e21e201a41bb472a15c9044694e31df5abb688c673295e64db34a6aa3
mri_brain_date_mdy,tier2_ped,"If imaging was performed, what type?",text,Date of MRI Brain,,MM/DD/YYYY,date_mdy,01/01/1900,,[mri_brain] = '1' or [mri_brain] = '2',,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,b95d335cd1ec628810e78b5135dc67e18a4db182a5f4ab092571bbf955c07767b299e05c2da24fdf43fcaa7937f7f7d6981735cc47e724075459f1799c13c3ba
mri_spine_date_mdy,tier2_ped,"If imaging was performed, what type?",text,Date of MRI Spine,,MM/DD/YYYY,date_mdy,01/01/1900,,[mri_spine] = '1' or [mri_spine] = '2',,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,83eb1828100982cf235ac941096cc05a5a6f9ea9dac10086c251074c090c8e3ec547eed6951c75d90ff5271f5b71d24d38848e3a89254855c55c6087b93ea28f
mri_ab_date_mdy,tier2_ped,"If imaging was performed, what type?",text,Date of MRI Abdomen,,MM/DD/YYYY,date_mdy,01/01/1900,,[mri_abdomen] = '1' or [mri_abdomen] = '2',,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,7494681d9bd944b81e64e08fb985179ac0970d5c62dec39298aaff40ffa38ee2c7cdeee4dc893c573968ca7cb259b6289d8740ff6ccde22466c614717c669f79
mri_other_date_mdy,tier2_ped,"If imaging was performed, what type?",text,Date of Other Radiographic Imaging,,MM/DD/YYYY,date_mdy,01/01/1900,,[imaging_other] = '1' or [imaging_other] = '2',,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,b31f3bbede54d7a6f7d555078f54455bfdf0dce4abbcd4ce06268ffed80dcf99923c45bf5c161fbce44556736b8624312f8927b0a6f0fe9ce50aa4f3dcfebb6f
anti_coag,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Anti-coagulant,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,242235c15fc1f4f8e122ad8ec80c0f68facab3f253580b8d207a874f077ca9b41d066c468c3d4b4d2a5158c0abf1d22c1af997b22e5c4ff46057782eff34da40
heparin,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Heparin,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,f31cc5c6334667188c1d04a54ac00cd0390fff384ec974ea915f86475380b91aa26ca7b9579d2d9bbb97317beeb4b68c5d13bc69c7db09b03b1d1894c658b82f
medications_enoxaparin,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Enoxaparin,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,c97f56d043f0f96b04cfb2d6dbc64bcb6800c5cbab04e1df7d3bea394bfbb8e57dd4dc343e771e60f464f2224a23647fc18904aa809e7c76037fce19d1bf5746
medications_warfarin,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Warfarin,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,6582c93a463b5bd21e0e0aa4439c7375ebbc66c051850397e4bcbbaa5a8ce1426b91f1db57ea9bc0945e9620f7620a12cbb3bb9dc5600f79d7b2f03652e4704f
medications_doac,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Direct oral anticoagulant (DOAC),"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,bce16dd0b8417a7a39cec4d3e5bc6f01daa11acdb316f18929021b53558e4334608ce2249715d60fa9add6ff977bd53c69f9595676cc48c8f42914463d614f65
medications_antiplatelets,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Antiplatelets/aspirin therapy,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,df16bb71d7bd572f77a6c2e4f28ea2b69de8dcf3ba33c05056823ab8b7b1b80eaa0f674e11e1dfe0b9f577270a030bca5e3f60784189aadbaeac1a23491157d0
medications_antibiotics,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Systemic antibiotics,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,8da2836f27e401079740a0835a2ac1f6f97710908b6c6c6d84b14d64b4be49a3eaa30ab1f79b16218b4504e873bf33f0ca80e4a5a297696b169b9e83cd6b9670
medications_modulators,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Immune modulators/immunosuppressants,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,6f36132c4232d6b9c67185a79108e989a71cf6487505fc29c702039fb309bbc3ec01b381d00f14e0e1294d50b80686756b06b065e3e43e9864ad8c56a759434e
medications_anakinra,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Anakinra,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,0c8c6270741740caa66b021de314265c033ee60671b2cc6634e13c346361a1453ebb224d3f467c263c8864ff2fef1f579806788c2b8d2121907f7fb00d99c4c1
medications_tocilizumab,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Tocilizumab,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,daa91deb30f2a5d65b95511ffc334098bedb09197669bb234eee33255ddc03c548b53bf77d80b4b8b4fa921cc6e7472f3e2d2b4b7d2bd01e73c815a2cffe5c99
medications_plasma,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Convalescent plasma,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,76725342ee458b99f43525205fbc66bb7eb4e670fc640ed0caa2a9b6be12ebdb4bada3ff0a65cb9ad019ff74934339339289aa7b228d7b8fe90853f0787cc58d
medications_antibodies,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,SARS-CoV-2 monoclonal antibodies,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,1b307484fbdac926b91d14d0bd79e587a99216eaa3e4ffb285010c4caeba448c1ba99117b03d47f440fdb0f900043816ace67cf47fea52efee870727acaea04a
medications_ivig,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Intravenous immunoglobulins (IVIG),"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,bc703f445d217985d0d8f7315f44d8f71658b22f0b3a94d3bc9b55017e23e4c37b5bdf73a14f805e6e912621affa5a9cb43dba6478060225a4203af60739abd6
medications_interferon,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Interferon,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,a23820ab9b480f724252885af6c44664b3a9c3815e2a8876a1e14972f9005c30936b54bbac38c65b0b5e15da6e2460f13ee47bb1e3cd78a7ae9bf43b47d4fd2d
medications_tnf_inhibitors,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,"Tumor necrosis factor (TNF) inhibitors (i.e. infliximab, etanercept, adalimumab)","1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,a4f5657e99b1a6139801571d24a37e24c3b83d4a42355d264469a18ccb08c7fb852a53406cd50938e0e239aa1149a055bb0e321716a9f4c1c2aa5fa80a4a36c3
medications_nsaid,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,NSAID-Ibuprofen,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,ed9fcbb3733736921094f556518999ddf41b2897033fda2b1c608a4d97c6aa42e8334b86131de619112bc5553ae336989880ab02c7b3aaaf572a93afa6adfad8
medications_antiviral,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Anti-viral/anti-COVID,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,e3795db9f61768a45181f0446674ef3b82b4fa709240ab7dd538bc9526906a1cae36f59feb9c18a00b5939907f614256b78760ccf0ead3e5dc03e27c938ff2c8
medications_diabetic,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Diabetic medications,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,91423b3af3e04ffc9934dd12c2d873f42c7570ca0104813e8aaa00cc258f7824bacd878090b770ba72d8b233d08257d4d6337664a573525020d2b17ce86c13ab
medications_steroids,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Systemic steroids,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,ad73e6f579a12e2e32aa8c6cb7ebf8d95ec53a75bcbe7b10e0f7ee65a1cfbb12bd3e51072b2a0faf94bce9a1b0db14a2e0ff1e71165e20d03a6d52e4f3d114d7
medications_other,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",radio,Other medications,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,911011865e822c4c8ba1d23a083d752afc282a40e2750ea3b4b0dd47012f1556e3747eb1bcdcfdd93049336251cf80b36f9465543b0902759841657be5e471b7
antibiotic_specify,tier2_ped,"Treatment 

What medications did the patient take or receive to treat Acute COVID-19/MIS-C/Long COVID (PASC)?",text,Specify antibiotic,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,[medications_antibiotics] = '1',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,320c7bf7fb726ceae1c730be0eb186a8e685b1d50e3916ea6bab76ce4d6640206e7d8bffa066337938115f428a1f25026d98de29b57e9cf1dd89acad7b265f7e
medications_remdesivir,tier2_ped,"If anti-viral/antibiotic, what type?",radio,Remdesivir,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications_antiviral,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,dc804f753bbecdeaa8a038dc77de6814e7541bbab1279e5b16e0a14dddf2bf0a71ff757d6594f112a1d84cd8dd1addb4c79f4f334398000f5c9bc82784c38b20
medications_ribavirin,tier2_ped,"If anti-viral/antibiotic, what type?",radio,Ribavirin,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications_antiviral,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,65d22b9c6386081ce86d17af1db7627fa3de5ff86d7d92cbbd656131c33dd8dd3f5a2eea7ffbd677200ef80dee5dba4e4ff6a88c3b52758109b4e8d8b1425388
medications_insulin,tier2_ped,"If anti-viral/antibiotic, what type?",radio,Insulin?,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,[medications_diabetic] = '1',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,294588507b4ded726f475cb2e3b0583902b692b1665e089812cabbda41273f70f51784063cc139d5eec1cf5f3647361516b45fcb2ed8c2b6e037d502c216e189
medications_inhaled,tier2_ped,"If inhaled medications, what type?",radio,Inhaled steroids,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications_inhaled_detail,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,c2575fc4f83a548f8468572061a6792316c4ca8d348193b7794e15ee14fc3362f4fedd38c00ad02cc3158022df6e0609ada50cb9ffa758c01fcd8714002899fe
medications_albuterol,tier2_ped,"If inhaled medications, what type?",radio,Albuterol,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications_inhaled_detail,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,9a1aed0c0eddc5448b02aadb67277dc077c777164313805c086e38bbdcf860219a559fc8ed5216e310d22809a52e0201e83c5973885b61ba16ed12c4d428f287
medications_ipratropium,tier2_ped,"If inhaled medications, what type?",radio,Ipratropium,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications_inhaled_detail,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,6f750918ce5585f244a4398c38b66a031f25187bf9a1f340522e954351a01874dd0692702b5700c49712859c2a0e51d82dfc03a7140ac8ca73e0287fcc677c48
medications_dexa,tier2_ped,"If systemic steroids, what type?",radio,Dexamethasone,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications_steroid_detail,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,d4ad5cfe2f2024b9456c9e7574df92e2bb08f4c5e75a007d0adec09c144e6b1ef5823fcb4bc1f6a69aadb62c3a81b8a0dcea588efe4394cefe164a65ef13b339
medications_methyl,tier2_ped,"If systemic steroids, what type?",radio,Methylprednisolone,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications_steroid_detail,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,1b23a21a68edab36e5b25f98f13ebaf73c7f08d20c6f08dae05c70b85feda17127a5457ce2a037b8f6b44479d5bf6ce5460f6b73c34ec94fc35335b97a873da9
medications_prednisone,tier2_ped,"If systemic steroids, what type?",radio,Prednisone/prednisolone,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications_steroid_detail,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,d9ab87cf9e16f56370d8ac063434a5b280be72580a12609435502dedc2bbfb735bbe038bf11ffa040ff1d43dffd50fe33916fec7f15365a2e4c7e2029f0a7b75
medications_hydro,tier2_ped,"If systemic steroids, what type?",radio,Hydrocortisone,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications_steroid_detail,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,a76f4a47e197d415b54654d2fddbd68a17c00ce33fb621c8b81371cff143f5900a76461f1cdb897713325d005cdbbb4adc0473c98b4eaee86e99624000036c1c
medications_fludro,tier2_ped,"If systemic steroids, what type?",radio,Fludrocortison,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,medications_steroid_detail,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,aa9035748c35ecff9b579df511cb70fc3bd88a48d5787c332692e2019953975ad622e97fbdbf012758f16972f075d6c5cfcc1720b984405a7ef9272c982abba3
medications_other_specify,tier2_ped,"If systemic steroids, what type?",text,Specify,,,,,,[medications_other] = '1',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,4647e8d1c0439c74966c77d6f1d1b87a20d4127947c12689c69a18e2e9c30979e10fab6e2f31fabb02cf31f86bc59eb6b3e57609ff3174320ddf0ccb3eeed39a
patient_death,tier2_ped,Outcomes,radio,Did the patient die?,"1, Yes | 0, No |4, Not reported |98, Don't know| 99, Prefer not to answer",,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,c528a9a69665ef1d0f82c6ee4128c11fb09f8141722b638a68764bdd5bd0780b7237a14f2baaa815254512f8e8ad580f1c80d32ee3639a08d76eef70c4cb446f
patient_death_covid,tier2_ped,Outcomes,radio,Death due to COVID/MIS-C?,"1, Yes | 0, No | 97, N/A or not reported| 98, Don't know  | 99, Prefer not to answer",,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,321ffd8d2b9f876174992e5e1f4c136f2ad493309e0d6cb08c92435bdfc4735524c53d746410f7670266d1e90ff542bcea3552b680eb6be4ad78c4e4047c00f4
patient_date_date_mdy,tier2_ped,Outcomes,text,Date of Death,,MM/DD/YYYY,date_mdy,01/01/1900,,[patient_death] = '1',,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,92ef6ccf5627104f063e602b85460edc493e9b00a29050ae52bad082f1f242be9f788d3ebf4f03a539c55bb0f6d2737da2166cdd24ede3641441e6e46e1901d2
discharge_location,tier2_ped,Outcomes,radio,"If hospitalized for suspected or diagnosed COVID-19 and survived, to where was the participant discharged?","1, Home with in-home nursing care | 2, Home with self-care | 3, Rehabilitation facility/nursing facility | 4, Other | 97, N/A or not reported | 99, Prefer not to answer",,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,9706b5cfbcd5a18ab71fa4f1b0da8724da27dfad14d7c8c110b9de02c9cff2afb120e5f7c65095575e38b62de8ce9ec71c8251df4a6013b8b2f3041c9cb406cd
discharge_location_other,tier2_ped,Outcomes,text,Specify,,,,,,[discharge_location] = '6',,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,2465c5861543359ee88960604248c8e2cbdc9a1351b47b1da875776ab6c734909992c972dd2780305d5d92be0ebfcbb8c4e9e6db97d0586c00606279820042a4
treatment_invasive,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,"Invasive mechanical ventilation (e.g., endotracheal intubation, mechanical ventilation via tracheostomy)","1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,e44b2c11d3c03b05cc1e486510f4a610c577b54c246abbaaf213da12003562211e124cd1d71a8db090fecbc80c978ac2a49b4d21e62c5660af57a09070d3f717
treatment_tracheo,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,New tracheostomy,"1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,7df2411530a4ffcddbf873576371874d8ff2bf03a26ad690961499c7bd8e9bfe03d145267f1619bcdbe6b97c9718598f44ffa861b7c168fc9e7add81da8bd43e
treatment_noninvasive,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,"Noninvasive mechanism ventilation (e.g. CPAP, BiPAP, NIPPV)","1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,b3a6fd66323a78f9864b0563ae7b7e0e70828ef12a9c4a0181eab9ce59ce5705471084aa84adecf88abdbb7d0ec5e0ade1039790934446be06cd0938b0d674c8
treatment_ecmo,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,Extracorporeal membrane oxygenation (ECMO),"1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,4d6cf70fe9da9273548a9c681b48d15ee0f8d9c860fd89efcbd7f0f505774b0e231381bf8795ca3483f3448dc9d1191b0e38a9242d6d3b0cc6523153de3b2c71
treatment_vasoactive,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,Vasoactive medications,"1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,dd9877e62c0a351c0866a08e94be1e00acbeaf066edcd5554610b79c0d3abf3d3809bb81302573c86b8c65cd41e9ad57aea0657f99c628012235f2afee755b95
treatment_arterial,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,Arterial catheter placement,"1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,e8ff4ece753956be45a180ef8786ea58e768efa0e44753f4dc329eafa698f5fd2094987efccfde68476716c4e1e77274308816fd23aa873a4146775175cc53ba
treatment_cardiopulmonary,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,Cardiopulmonary resuscitation with/without return of spontaneous circulation,"1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,16a95637ef5005d1fbbc24fc7b926ca407dd0abaa5417264521f35512b182f631885f2b8e2c00ef68c9eb66059fc64beec8b58ba2aa6ec3024b4e49e7f23520e
treatment_catheter,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,Central venous catheter placement,"1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,24364652f172b3ab0dea8786e0bb10eef6c5ca40091e3684260c95c834dee82549e2a35c3476584cc854e19edfac5b242b0f8c06e89617148f79758fcfc6d114
treatment_lowflow,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,"Low flow oxygen therapy (e.g. nasal cannula, simple mask, face tent)","1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,2fbb0ea7f06f3afd8d560221ff4b7600c4298d5198c3066b494a9dc1b5da8ec0f0ed6412e134d5c620003f191d44aee53d41a9eee142a7ae231a6b339383a261
treatment_highflow,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,High flow oxygen therapy,"1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,18f51ab601884bf648760513f1b29a19adf832caba193928be32d032747f79bdddc495acb1072af2193f99abc06132e730eca27b6361886541b1f86af97733ea
treatment_thrombosis,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,"Invasive management of thrombosis (e.g., surgical thrombectomy, endovascular thrombectomy, catheter-directed thrombolysis)","1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,4ade11dfcd994480ecfdc88040f9129debc8385ee6149438f10979a27c2d0d93e4e65634f7dee8ff1fca5a9e103a328aaeb425cb605a7596cef6a5887ccc8f39
treatment_rrt,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,Renal replacement therapy (RRT),"1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,35c9c92ed0be78c56cb4443c149b040401caad6e44fa3d6e711a4ae48d0198a260d0972ad6b376fef3cdf92f997b96bec806104a6b436ec4e437e72fa395cd9e
treatment_pacemaker,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,Pacemaker placement,"1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,fd73633bd23adf391d7a615e28154be47c04ce6d42884ef1f3b28aadee4a55d1023dace3553c9e81ed3b5ddf291df7b9806d75b693af269162aa6617b7144019
treatment_lvad,tier2_ped,Did the patient receive the following for treatment of COVID in the hospital?,radio,Left ventricular assist device (LVAD),"1, Yes | 0, No | 4, Not reported | 98, Don't know | 99, Prefer not to answer",,,,,,,,,patient_treatment,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,d9e5d9fb3f31dc52d4a40e33264e27d149b2f11d262df3ca1d6d8427a28c4e335b486d7810874537d9996acb9fcd122a488d51c8f736e2198492085017e3e9d9
