Data Type,Variable Name,Description,Permissible Values
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__I_DID_NOT_EXPERIENCE_ANY_FLU_LIKE_SYMPTOMS,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | I did not experience any flu-like symptoms","[""""i_did_not_experience_any_flu_like_symptoms""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__FEVER,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Fever","[""""fever""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__FEELING_HOT_OR_FEVERISH_OR_HAVING_CHILLS_OR_SHIVERING,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Feeling hot or feverish or having chills or shivering","[""""feeling_hot_or_feverish_or_having_chills_or_shivering""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__COUGH,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Cough","[""""cough""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__SORE_THROAT,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Sore throat","[""""sore_throat""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__MUSCLE_OR_BODY_ACHES,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Muscle or body aches","[""""muscle_or_body_aches""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__FATIGUE_FEELING_WEAK_OR_TIRED,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Fatigue (feeling weak or tired)","[""""fatigue_feeling_weak_or_tired""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__HEADACHE,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Headache","[""""headache""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__NASAL_CONGESTION_HAVING_A_STUFFY_NOSE_OR_A_RUNNY_NOSE,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Nasal congestion (having a stuffy nose) or a runny nose","[""""nasal_congestion_having_a_stuffy_nose_or_a_runny_nose""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__SNEEZING,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Sneezing","[""""sneezing""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__NAUSEA_FEELING_LIKE_YOU_WANTED_TO_THROW_UP_AND_OR_VOMITING,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Nausea (feeling like you wanted to throw up) and/or vomiting","[""""nausea_feeling_like_you_wanted_to_throw_up_and_or_vomiting""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__DIARRHEA,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Diarrhea","[""""diarrhea""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__ABDOMINAL_STOMACH_OR_BELLY_PAIN,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Abdominal, stomach, or belly pain","[""""abdominal_stomach_or_belly_pain""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__RASH,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Rash","[""""rash""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__SHORTNESS_OF_BREATH_OR_DIFFICULTY_BREATHING,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Shortness of breath or difficulty breathing","[""""shortness_of_breath_or_difficulty_breathing""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__CHEST_PAIN_OR_PRESSURE_OR_CHEST_DISCOMFORT,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Chest pain or pressure or chest discomfort","[""""chest_pain_or_pressure_or_chest_discomfort""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__NEW_LOSS_OF_SENSE_OF_SMELL_OR_TASTE,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | New loss of?sense of smell or taste","[""""new_loss_of_sense_of_smell_or_taste""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__OTHER,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Other", 
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__FEVER,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever","[""yesterday"",""2_days_ago"",""3_days_ago"",""4_days_ago"",""6_days_ago"",""today"",""5_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__FEELING_HOT_OR_FEVERISH_OR_HAVING_CHILLS_OR_SHIVERING,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering","[""today"",""3_days_ago"",""5_days_ago"",""6_days_ago"",""yesterday"",""2_days_ago"",""4_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__COUGH,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough","[""today"",""yesterday"",""2_days_ago"",""3_days_ago"",""4_days_ago"",""6_days_ago"",""5_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__SORE_THROAT,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat","[""today"",""yesterday"",""4_days_ago"",""5_days_ago"",""2_days_ago"",""3_days_ago"",""6_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__MUSCLE_OR_BODY_ACHES,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches","[""today"",""6_days_ago"",""yesterday"",""2_days_ago"",""3_days_ago"",""4_days_ago"",""5_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__FATIGUE_FEELING_WEAK_OR_TIRED,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fatigue (feeling weak or tired)","[""2_days_ago"",""today"",""yesterday"",""3_days_ago"",""4_days_ago"",""6_days_ago"",""5_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__HEADACHE,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Headache","[""2_days_ago"",""today"",""4_days_ago"",""5_days_ago"",""6_days_ago"",""yesterday"",""3_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__NASAL_CONGESTION_HAVING_A_STUFFY_NOSE_OR_A_RUNNY_NOSE,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nasal congestion (having a stuffy nose) or a runny nose","[""3_days_ago"",""today"",""2_days_ago"",""5_days_ago"",""6_days_ago"",""yesterday"",""4_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__SNEEZING,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sneezing","[""yesterday"",""4_days_ago"",""5_days_ago"",""today"",""2_days_ago"",""3_days_ago"",""6_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__NAUSEA_FEELING_LIKE_YOU_WANTED_TO_THROW_UP_AND_OR_VOMITING,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Nausea (feeling like you wanted to throw up) and/or vomiting","[""3_days_ago"",""4_days_ago"",""5_days_ago"",""today"",""yesterday"",""2_days_ago"",""6_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__DIARRHEA,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Diarrhea","[""today"",""2_days_ago"",""5_days_ago"",""6_days_ago"",""yesterday"",""3_days_ago"",""4_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__ABDOMINAL_STOMACH_OR_BELLY_PAIN,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Abdominal, stomach, or belly pain","[""today"",""2_days_ago"",""4_days_ago"",""yesterday"",""3_days_ago"",""5_days_ago"",""6_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__RASH,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Rash","[""today"",""4_days_ago"",""yesterday"",""2_days_ago"",""3_days_ago"",""5_days_ago"",""6_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__SHORTNESS_OF_BREATH_OR_DIFFICULTY_BREATHING,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Shortness of breath or difficulty breathing","[""today"",""yesterday"",""5_days_ago"",""2_days_ago"",""3_days_ago"",""4_days_ago"",""6_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__CHEST_PAIN_OR_PRESSURE_OR_CHEST_DISCOMFORT,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Chest pain or pressure or chest discomfort","[""today"",""yesterday"",""2_days_ago"",""3_days_ago"",""4_days_ago"",""5_days_ago"",""6_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__NEW_LOSS_OF_SENSE_OF_SMELL_OR_TASTE,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | New loss of?sense of smell or taste","[""yesterday"",""2_days_ago"",""3_days_ago"",""4_days_ago"",""5_days_ago"",""6_days_ago"",""today""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS2__INSERT_TEXT_FROM_OTHER,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | [Insert text from Other]","[""5_days_ago"",""today"",""yesterday"",""3_days_ago"",""4_days_ago"",""6_days_ago"",""2_days_ago""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEVER__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEVER__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEVER__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEVER__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEVER__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEVER__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEVER__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Fever | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEELING_HOT_OR_FEVERISH_OR_HAVING_CHILLS_OR_SHIVERING__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEELING_HOT_OR_FEVERISH_OR_HAVING_CHILLS_OR_SHIVERING__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEELING_HOT_OR_FEVERISH_OR_HAVING_CHILLS_OR_SHIVERING__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEELING_HOT_OR_FEVERISH_OR_HAVING_CHILLS_OR_SHIVERING__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEELING_HOT_OR_FEVERISH_OR_HAVING_CHILLS_OR_SHIVERING__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEELING_HOT_OR_FEVERISH_OR_HAVING_CHILLS_OR_SHIVERING__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__FEELING_HOT_OR_FEVERISH_OR_HAVING_CHILLS_OR_SHIVERING__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Feeling hot or feverish or having chills or shivering | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__COUGH__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__COUGH__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__COUGH__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__COUGH__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__COUGH__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__COUGH__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__COUGH__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Cough | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SORE_THROAT__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SORE_THROAT__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SORE_THROAT__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SORE_THROAT__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 3 days ago","[""""3_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SORE_THROAT__4_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 4 days ago","[""""4_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SORE_THROAT__5_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 5 days ago","[""""5_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__SORE_THROAT__6_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Sore throat | 6 days ago","[""""6_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__MUSCLE_OR_BODY_ACHES__TODAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | Today","[""""today""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__MUSCLE_OR_BODY_ACHES__YESTERDAY,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | Yesterday","[""""yesterday""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__MUSCLE_OR_BODY_ACHES__2_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 2 days ago","[""""2_days_ago""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS3__MUSCLE_OR_BODY_ACHES__3_DAYS_AGO,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, please indicate on which days you felt the following symptoms. | Muscle or body aches | 3 days ago","[""""3_days_ago""""]"
